jdate,high,low,open,close,volume,returns,volume_change
1399-02-01,709012,691277,691277,-2.4105176714936944,0.07541621929074434,0.0,0.0
1399-02-02,726964,716060,716060,-2.3639323305955333,0.07246871987885159,-0.019325865746212978,-0.0029474994118927483
1399-02-03,741952,729307,729307,-2.3210891443127477,-0.21025740175083604,-0.018123694036534577,-0.28272612162968763
1399-02-06,770549,750464,750464,-2.2464335673781206,-0.9861084075652191,-0.032164028304363934,-0.775851005814383
1399-02-07,798105,780468,780468,-2.1691446223808217,0.6663055248703582,-0.03440517721942038,1.6524139324355773
1399-02-08,820534,806172,806172,-2.1074765232289683,0.1457119650340461,-0.028429685377163727,-0.5205935598363121
1399-02-09,846008,830580,830580,-2.0383213972322642,-0.0409260617531316,-0.03281418570240968,-0.1866380267871777
1399-02-10,878434,853992,853992,-1.9509718448376376,-0.6329835957738652,-0.042853669942941375,-0.5920575340207336
1399-02-13,917501,892690,892690,-1.8441369993477004,-0.8974780824172607,-0.05475980894989707,-0.2644944866433955
1399-02-14,964308,932736,932736,-1.7387098779614412,-0.385792724262364,-0.05716881198281387,0.5116853581548967
1399-02-15,979106,956324,956324,-1.676462927006338,0.8804115937873441,-0.035800654119527375,1.266204318049708
1399-02-17,980515,965587,980515,-1.6796724292581597,1.7193946856529148,0.0019144486884377088,0.8389830918655706
1399-02-20,1020910,990339,990339,-1.5647336585227252,-0.12267954611092446,-0.06842927747894167,-1.8420742317638392
1399-02-21,1044560,1033830,1033830,-1.5021334177346526,-0.1858397471516882,-0.04000696249301228,-0.06316020104076372
1399-02-22,1048820,1043070,1048820,-1.4898769781447154,0.14326013211653002,-0.008159354851728806,0.3290998792682182
1399-02-24,1026060,1008010,1009360,-1.5716798801617229,2.946808593220348,0.05490580981986404,2.803548461103818
1399-02-27,1016653,982410,1016653,-1.6537164969913103,-0.30875966810737376,0.05219677229764241,-3.2555682613277215
1399-02-28,979444,964004,979444,-1.70539192909833,1.1632199782087314,0.031248059870621958,1.4719796463161052
1399-02-29,995184,978644,978644,-1.632774562738526,1.4881655852853721,-0.042581042586614104,0.3249456070766408
1399-02-30,1008560,1000870,1004700,-1.613903450429762,0.6676703627033511,-0.011557696169098075,-0.820495222582021
1399-02-31,996750,985119,996630,-1.6556623086867415,0.8294910552748574,0.025874446359142267,0.16182069257150633
1399-03-03,986677,959306,986677,-1.7288177626382988,1.4647232721679606,0.04418500896452948,0.6352322168931032
1399-03-06,946195,926121,946195,-1.8204203810990567,0.25762015157140195,0.05298569949961984,-1.2071031205965586
1399-03-07,938557,913435,913866,-1.7866757668222824,1.401280877872777,-0.018536715270349502,1.1436607263013752
1399-03-10,973495,939162,939162,-1.6917087421060162,0.17610483115636713,-0.05315291474802453,-1.22517604671641
1399-03-11,987440,970270,983773,-1.70008442876149,1.723131803862213,0.00495102167826289,1.5470269727058459
1399-03-12,988120,971214,971583,-1.6519609182828625,0.6890394755510973,-0.02830654152493206,-1.0340923283111156
1399-03-13,1028530,996019,996019,-1.5421231092126855,1.202178160884496,-0.06648935084030216,0.5131386853333986
1399-03-17,1068860,1046170,1046170,-1.4325869553075825,0.724766516602643,-0.0710294484601981,-0.4774116442818529
1399-03-18,1116280,1090970,1090970,-1.3039269509824376,0.041795426977635906,-0.08980956014465524,-0.6829710896250071
1399-03-19,1127890,1114200,1121810,-1.2965214525605795,1.1827799165245247,-0.005679381361263003,1.1409844895468888
1399-03-20,1129080,1117340,1117340,-1.2986792381557926,0.7808633750551336,0.0016642883856272661,-0.40191654146939115
1399-03-21,1153670,1127560,1127560,-1.2020354455399718,1.1092057493003347,-0.07441698440722067,0.3283423742452011
1399-03-24,1190500,1174020,1174020,-1.103856200957784,0.2677271051560551,-0.08167749540703795,-0.8414786441442796
1399-03-25,1201870,1178410,1201870,-1.1158952314197401,1.8464399622980605,0.010906339477470217,1.5787128571420055
1399-03-26,1205650,1191070,1191070,-1.075826729132814,0.39394286444804383,-0.035907046789641184,-1.4524970978500167
1399-03-27,1229700,1204110,1204110,-0.9954369864476841,-0.08017597017367198,-0.07472368970598953,-0.4741188346217158
1399-03-31,1270600,1244900,1244900,-0.8842838521532213,-0.16500956643318992,-0.1116626524910671,-0.08483359625951795
1399-04-01,1300830,1292660,1292660,-0.8021439659878429,1.4025829153215068,-0.09288859676151351,1.5675924817546967
1399-04-02,1341530,1315830,1315830,-0.6915262016710336,0.7472892974839236,-0.1379026322046606,-0.6552936178375832
1399-04-03,1391810,1364210,1364210,-0.556979845205799,-0.035296018518466275,-0.19456436522594667,-0.7825853160023899
1399-04-04,1419430,1393580,1393580,-0.47980504000069024,-0.19981507479679742,-0.13855942161891577,-0.16451905627833113
1399-04-07,1466280,1436090,1436090,-0.35252014841002605,-0.34512263943996335,-0.2652846072448115,-0.14530756464316594
1399-04-08,1499890,1487660,1492710,-0.2827426887844759,2.7772616551269316,-0.19793892615859798,3.1223842945668947
1399-04-09,1481920,1460440,1476890,-0.30999492297691306,1.6474682738437474,0.09638528341650776,-1.1297933812831842
1399-04-10,1546850,1502960,1502960,-0.13355110993561103,-0.3335758272959736,-0.5691829122454457,-1.981044101139721
1399-04-11,1612880,1577660,1577660,0.04589838430003042,0.5743335395679131,-1.343676546920197,0.9079093668638867
1399-04-14,1645260,1618820,1635660,0.06896005755063093,2.116333851494018,0.5024506549043217,1.5420003119261048
1399-04-15,1655400,1620210,1624700,0.1614649238925106,0.7719001592842483,1.3414267566984264,-1.3444336922097697
1399-04-16,1740870,1676370,1676370,0.33251970817397986,-0.17096474649923704,1.0593928399913208,-0.9428649057834853
1399-04-17,1748000,1734850,1734850,0.41059132603201093,0.6788952246942199,0.23478794170354167,0.8498599711934569
1399-04-18,1767010,1752520,1757560,0.42852757909045586,2.312328648514607,0.04368395511854173,1.633433423820387
1399-04-21,1741290,1719030,1726650,0.3948780813071733,0.7750051598454218,-0.07852352899830439,-1.537323488669185
1399-04-22,1814830,1763460,1763460,0.5892853235479178,1.1215641155938274,0.49232219118669285,0.34655895574840556
1399-04-23,1822110,1799810,1812680,0.6145183704642301,1.4907055101216726,0.04281974437169289,0.3691413945278452
1399-04-24,1846160,1835130,1842380,0.6763250679351714,0.5549924719889179,0.10057746105173426,-0.9357130381327547
1399-04-25,1845120,1838570,1840420,0.6677265369235169,2.1116418906073013,-0.012713606842795211,1.5566494186183835
1399-04-28,1822650,1809030,1822650,0.5792709155902861,0.1951280817596399,-0.1324728259876884,-1.9165138088476614
1399-04-29,1864940,1797980,1797980,0.7309110647430387,1.85621080668365,0.2617775984803741,1.66108272492401
1399-04-30,1924880,1893780,1893780,0.8935657038421363,0.41991107774839936,0.2225368405885071,-1.4362997289352506
1399-04-31,1920180,1901240,1920180,0.8702050930405617,0.3964604005086111,-0.026143137209865053,-0.023450677239788276
1399-05-01,1909690,1888590,1909690,0.8293512002788038,-0.0728681668656784,-0.04694743008112179,-0.4693285673742895
1399-05-04,1953150,1932780,1932780,0.9699931651698099,0.743062808346467,0.1695807094072166,0.8159309752121454
1399-05-05,1964180,1935960,1957560,0.951548718274709,0.47114919502272246,-0.019015027690295172,-0.27191361332374453
1399-05-06,1933940,1900330,1924540,0.9184210023985813,2.059614181777313,-0.03481452419608411,1.5884649867545906
1399-05-07,1973490,1941150,1946460,0.9380231529001818,1.9849122071037992,0.021343316899773424,-0.0747019746735138
1399-05-08,1924080,1899580,1924080,0.8379035318507623,0.8083495193214719,-0.10673470131293616,-1.1765626877823272
1399-05-11,1961640,1912600,1912600,0.9937125010325534,1.050928582713815,0.18595096363616004,0.24257906339234314
1399-05-12,2013730,1961620,1961620,1.129169258221209,1.8413380976669427,0.1363138302556366,0.7904095149531276
1399-05-13,2015420,1987590,2011870,1.0798037980989892,0.4396156933154991,-0.0437183883308917,-1.4017224043514436
1399-05-14,1995030,1986390,1986390,1.0844482005954865,1.5231806455917414,0.004301154065834867,1.0835649522762423
